persona_id,brand,part_role,part_id,brand_tone_cluster,score
persona_1,오딧세이,identity,Part 2,9,0.18042359314858913
persona_7,홀리추얼,emotion,Part 1,0,0.18039320118725302
persona_7,에뛰드,identity,Part 2,0,0.18037495017051697
persona_6,홀리추얼,emotion,Part 1,0,0.1802918678894639
persona_3,설화수,identity,Part 3,2,0.18022833541035654
persona_2,려,benefit,Part 3,2,0.18016212325543163
persona_7,설화수,proof,Part 2,2,0.18012281442433598
persona_8,AP,identity,Part 2,9,0.18002392798662187
persona_6,려,benefit,Part 3,2,0.18000874448567628
persona_3,에뛰드,identity,Part 2,0,0.1799933321774006
persona_1,마몽드,identity,Part 2,0,0.1799691542983055
persona_7,설화수,identity,Part 3,2,0.1799037788063288
persona_1,해피바스,cta,Part 2,9,0.17985910840332509
persona_7,마몽드,identity,Part 1,0,0.17984749525785448
persona_6,마몽드,identity,Part 1,0,0.1797808900475502
persona_3,해피바스,emotion,Part 1,9,0.17971347726881506
persona_3,마몽드,identity,Part 1,0,0.17966992482542993
persona_7,려,identity,Part 2,2,0.17963931858539584
persona_8,라네즈,proof,Part 3,1,0.17958296602964402
persona_7,해피바스,emotion,Part 1,9,0.17956530906260015
persona_5,설화수,identity,Part 1,2,0.1794476700946689
persona_4,이니스프리,benefit,Part 1,0,0.1794205030798912
persona_1,에스트라,identity,Part 1,0,0.17941599264740943
persona_8,에뛰드,identity,Part 2,0,0.17937935516238213
persona_8,홀리추얼,emotion,Part 1,0,0.1793695329502225
persona_1,에뛰드,identity,Part 2,0,0.17936190366744997
persona_8,려,identity,Part 2,2,0.1791086345911026
persona_8,려,benefit,Part 3,2,0.17904300898313524
persona_7,한율,emotion,Part 2,9,0.17901387110352518
persona_5,아이오페,identity,Part 2,0,0.17887869067490103
persona_2,메이크온,identity,Part 2,1,0.17884615808725357
persona_6,해피바스,emotion,Part 1,9,0.17877818372100593
persona_6,라네즈,proof,Part 3,1,0.17870461037755014
persona_2,설화수,proof,Part 2,2,0.17864549653977158
persona_6,설화수,identity,Part 3,2,0.17862695269286633
persona_3,아이오페,identity,Part 2,0,0.17858488559722902
persona_8,아윤채,identity,Part 2,0,0.17853808142244815
persona_4,설화수,proof,Part 2,2,0.17848205706477166
persona_6,한율,emotion,Part 2,9,0.17844905637204647
persona_4,오딧세이,identity,Part 2,9,0.17838199958205225
persona_2,이니스프리,benefit,Part 1,0,0.17822246834635735
persona_8,마몽드,identity,Part 1,0,0.17822082825005053
persona_4,라네즈,proof,Part 3,1,0.1782129100561142
persona_2,마몽드,identity,Part 1,0,0.17814228683710098
persona_4,메이크온,identity,Part 2,1,0.17810227796435357
persona_4,해피바스,emotion,Part 1,9,0.178062169700861
persona_5,한율,emotion,Part 2,9,0.17801383145153524
persona_2,마몽드,identity,Part 2,0,0.17796720042824743
persona_2,에뛰드,identity,Part 2,0,0.17795551791787145
persona_8,한율,emotion,Part 2,9,0.1777883867546916
persona_2,해피바스,emotion,Part 1,9,0.17775708146393301
persona_5,해피바스,cta,Part 2,9,0.1776979237049818
persona_3,해피바스,cta,Part 2,9,0.17769393745809794
persona_4,려,identity,Part 2,2,0.17757699079811573
persona_2,오딧세이,identity,Part 2,9,0.17747435718774796
persona_6,마몽드,identity,Part 2,0,0.1774585321545601
persona_8,해피바스,emotion,Part 1,9,0.17733934156596662
persona_5,아윤채,identity,Part 2,0,0.17725927047431467
persona_2,라네즈,proof,Part 3,1,0.177133134663105
persona_5,메이크온,identity,Part 2,1,0.17709759697318078
persona_2,설화수,identity,Part 3,2,0.17701152637600898
persona_5,마몽드,identity,Part 2,0,0.17700448222458365
persona_8,설화수,identity,Part 3,2,0.1769070029258728
persona_8,메이크온,identity,Part 2,1,0.1769028127193451
persona_5,려,identity,Part 2,2,0.17619778476655484
persona_5,이니스프리,benefit,Part 1,0,0.17568141169846058
persona_5,에뛰드,identity,Part 2,0,0.17540315687656405
persona_5,홀리추얼,emotion,Part 1,0,0.17522580668330193
persona_5,오딧세이,identity,Part 2,9,0.175202464312315
persona_5,라네즈,proof,Part 3,1,0.17473770408332348
persona_5,AP,identity,Part 1,9,0.1744206018745899
persona_5,려,benefit,Part 3,2,0.17376623436808586
